,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN
,,,,,,119,Tevin Coleman,,RB42,112.11,108,,,,,,,93,Travis Benjamin,,WR42,104.4,113
,,,,,,134,DeAndre Washington,,RB43,130.88,126,,,,,,,98,Tavon Austin,,WR43,105.6,101
,,,,,,136,Theo Riddick,,RB44,126.71,102,,,,,,,101,Stefon Diggs,,WR44,106.4,87
,,,,,,138,James Starks,,RB45,127.86,106,,,,,,,105,Torrey Smith,,WR45,100.89,86
,,,,,,141,Shane Vereen,,RB46,133,129,,,,,,,107,Vincent Jackson,,WR46,112.1,99
,,,,,,142,Jerick McKinnon,,RB47,141.88,125,,,,,,,112,Corey Coleman,,WR47,105,112
,,,,,,147,Jordan Howard,,RB48,144.38,173,,,,,,,114,Devin Funchess,,WR48,115.2,96
,,,,,,148,Javorius Allen,,RB49,150.88,161,,,,,,,118,Kamar Aiken,,WR49,124.5,120
,,,,,,149,Devontae Booker,,RB50,137.29,123,,,,,,,120,Phillip Dorsett,,WR50,125.1,117
,,,,,,151,Dion Lewis,,RB51,131,200,,,,,,,121,Markus Wheaton,,WR51,125.5,116
,,,,,,154,James White,,RB52,153.43,130,,,,,,,124,Sammie Coates,,WR52,131.4,118
,,,,,,155,Christine Michael,,RB53,152,172,,,,,,,127,Michael Thomas,,WR53,129.44,114
,,,,,,158,Darren Sproles,,RB54,142.33,124,,,,,,,129,Rishard Matthews,,WR54,134.33,122
,,,,,,160,Spencer Ware,,RB55,152.29,135,,,,,,,130,Mohamed Sanu,,WR55,137.67,127
,,,,,,166,Kenneth Dixon,,RB56,155.29,178,,,,,,,131,Mike Wallace,,WR56,146.8,166
,,,,,,169,Tim Hightower,,RB57,169,199,,,,,,,144,Terrance Williams,,WR57,149.22,186
,,,,,,174,Chris Thompson,,RB58,167.14,240,,,,,,,145,Steve Smith,,WR58,143,115
,,,,,,176,Shaun Draughn,,RB59,176,204,,,,,,,146,Tyler Boyd,,WR59,147.5,165
,,,,,,182,Terrance West,,RB60,191.86,162,,,,,,,156,Bruce Ellington,,WR60,159.88,121
,,,,,,183,Chris Johnson,,RB69,177.17,164,,,,,,,157,Anquan Boldin,,WR62,162.13,185
,,,,,,184,Darren McFadden,,RB70,153.25,206,,,,,,,161,Laquon Treadwell,,WR80,152.57,167
,,,,,,193,Alfred Morris,,RB62,189.8,201,,,,,,,162,Tajae Sharpe,,WR87,175.29,198
,,,,,,195,Paul Perkins,,RB76,184.6,177,,,,,,,170,Pierre Garcon,,WR83,165.43,183
,,,,,,200,C.J. Prosise,,RB65,171.6,163,,,,,,,172,Will Fuller,,WR93,174.25,128
,,,,,,204,Cameron Artis-Payne,,RB67,194.4,235,,,,,,,173,Chris Hogan,,WR67,183,119
,,,,,,205,Josh Ferguson,,RB72,187.25,207,,,,,,,175,Ted Ginn,,WR88,167.14,213
,,,,,,206,Kenjon Barner,,RB74,162,31,,,,,,,181,Josh Doctson,,WR76,179.29,168
,,,,,,217,Wendell Smallwood,,RB79,194,176,,,,,,,185,Seth Roberts,,WR86,172.6,263
,,,,,,218,Reggie Bush,,RB77,243.33,184,,,,,,,188,Brandon LaFell,,WR63,185.14,250
,,,,,,222,Andre Ellington,,RB63,204,238,,,,,,,191,Kendall Wright,,WR77,184.57,214
,,,,,,227,Mike Gillislee,,RB75,217.8,283,,,,,,,197,Robert Woods,,WR84,169.4,232
,,,,,,228,Zach Zenner,,RB80,227.67,276,,,,,,,198,Jermaine Kearse,,WR75,177.2,215
,,,,,,232,Benny Cunningham,,RB64,204.5,247,,,,,,,203,Nelson Agholor,,WR81,187.2,180
,,,,,,238,Alfred Blue,,RB61,223.5,281,,,,,,,208,Dorial Green-Beckham,,WR71,165,181
,,,,,,242,Charcandrick West,,RB68,218.25,202,,,,,,,209,Kenny Britt,,WR78,183.5,196
,,,,,,245,C.J. Spiller,,RB66,213.5,208,,,,,,,211,Davante Adams,,WR69,205.4,212
,,,,,,257,Keith Marshall,,RB73,223.33,236,,,,,,,213,Jaelen Strong,,WR72,192.25,179
,,,,,,260,Tyler Ervin,,RB78,231.5,239,,,,,,,214,Breshad Perriman,,WR64,196,182
,,,,,,261,Jacquizz Rodgers,,RB71,293.5,49,,,,,,,233,Jamison Crowder,,WR74,210,187
,,,,,,,,,,,,,,,,,,236,Victor Cruz,,WR92,230,216
,,,,,,,,,,,,,,,,,,239,Terrelle Pryor,,WR89,265.67,218
,,,,,,,,,,,,,,,,,,243,TJ Jones,,WR90,281,59
,,,,,,,,,,,,,,,,,,244,Pharoh Cooper,,WR82,236,29
,,,,,,,,,,,,,,,,,,246,Kenny Stills,,WR79,216.33,233
,,,,,,,,,,,,,,,,,,248,James Jones,,WR73,257.5,4
,,,,,,,,,,,,,,,,,,251,Tyrell Williams,,WR91,231.33,220
,,,,,,,,,,,,,,,,,,252,Dontrelle Inman,,WR70,247.5,9
,,,,,,,,,,,,,,,,,,254,Charles Johnson,,WR65,251.5,228
,,,,,,,,,,,,,,,,,,258,Rueben Randle,,WR85,228,294
,,,,,,,,,,,,,,,,,,259,Albert Wilson,,WR61,239,229
,,,,,,,,,,,,,,,,,,262,Chris Conley,,WR66,235.67,211
,,,,,,,,,,,,,,,,,,263,Cole Beasley,,WR68,244,262
