,Beersheets_Rank,Value,Fantasypros_name,Position,Fantasypros_rank,Fantasypros_value,Position_rank,Bonus_adj,Pick
96,TJ Yeldon (1),-0.3,Josh Gordon,WR,93.11111111,-0.2311111111,41,1.6698888889,82
90,Tyrod Taylor,-0.2,Kevin White,WR,96.4,-0.282,39,1.619,83
91,Eric Ebron (1),-0.22,Willie Snead,WR,98.4,-0.32,40,1.581,84
98,Isaiah Crowell (1),-0.32,Tavon Austin,WR,105.7,-0.39,43,1.511,85
97,Tyler Lockett (2),-0.32,Travis Benjamin,WR,104.5,-0.39,42,1.511,86
49,Jeremy Maclin (1),1.39,Drew Brees,QB,54.9,1.11,5,1.467,87
64,Antonio Gates (1),0.74,Travis Kelce,TE,65.3,0.737,4,1.457,88
68,Jordan Matthews (1),0.66,Delanie Walker,TE,70.5,0.58,5,1.3,89
78,Arian Foster (2),0.42,Coby Fleener,TE,79.9,0.375,6,1.095,90
71,Dion Lewis (1),0.53,Ben Roethlisberger,QB,73.7,0.459,6,0.816,91
74,Rashad Jennings (1),0.45,Carson Palmer,QB,75.2,0.448,7,0.805,92
77,Carson Palmer,0.43,Eli Manning,QB,78.8,0.422,8,0.779,93
86,Dwayne Allen (1),0.13,Julius Thomas,TE,90.8,-0.194,7,0.526,94
82,DeVante Parker (2),0.21,Philip Rivers,QB,86.6,0.13,9,0.487,95
89,Torrey Smith (1),-0.17,Gary Barnidge,TE,95.8,-0.264,8,0.456,96
92,Jameis Winston,-0.23,Zach Ertz,TE,98.7,-0.32,9,0.4,97
95,Michael Crabtree (2),-0.27,Antonio Gates,TE,102.1,-0.39,10,0.33,98
85,Philip Rivers,0.13,Blake Bortles,QB,89.6,-0.134,10,0.223,99
88,Danny Woodhead (2),-0.08,Tom Brady,QB,92.7,-0.227,11,0.13,100
